Localite,Homme,Femme,Total
CR.  KEUR MABA DIAKHOU,13789,13584,27372
CR.  NDRAME ESCALE,10106,10431,20537
CR.  WACK NGOUNA,18228,18683,36911
CR.  K. MANDONGO,4586,4768,9354
