Localite,Homme,Femme,Total
CR.  DJILOR,13896,13742,27639
CR.  DIOSSONG,15951,16773,32723
CR.  DIAGANE BARKA,6590,7084,13675
CR.  MBAM,6851,7102,13953
CR.  NIASSENE,11140,11713,22853
