Localite,Homme,Femme,Total
CR.  KEUR S.DIANE,14119,14366,28484
CR.  KEUR  SAMBA GUEYE,12384,12697,25081
CR.  NIORO ALASSANE TALL,16749,17834,34583
CR.  TOUBACOUTA,18678,18594,37272
