Localite,Homme,Femme,Total
CA. RUFISQUE CENTRE (NORD),53582,52938,106520
CA. RUFISQUE  EST,40624,40524,81148
CA. RUFISQUE OUEST,33331,34816,68147
COM. BARGNY,29688,29546,59234
COM. SEBIKOTANE,15823,15886,31709
COM. DIAMNIADIO,13876,13372,27248
COM. JAXAAY PARCELLE NIAKOUL RAP,23940,24164,48104
COM. SANGALKAM,7051,6738,13789
COM. SENDOU,1877,1740,3616
