Localite,Homme,Femme,Total
CA. GOREE,1094,1239,2333
CA. PLATEAU,24907,23300,48207
CA. MEDINA,62226,51624,113850
CA. COLOBANE/FASS/GUEULE TAPEE,38285,34303,72587
CA. FANN/POINT E/ AMITIE,12979,13185,26165
