Localite,Homme,Femme,Total
CR.  DIOULACOLON,11866,12319,24185
CR.  MEDINA  EL HADJI,6772,6963,13735
CR.  TANKANTO ESCALE,8896,8885,17780
CR.  GUIRO YERO BOCAR,9035,9094,18129
