Localite,Homme,Femme,Total
CA. GRAND DAKAR,29624,26305,55930
CA. BISCUITERIE,43732,37817,81550
CA. HLM,22472,24075,46548
CA. HANN/ BEL AIR ,40445,40407,80852
CA. SICAP LIBERTE,26524,29586,56110
CA. DIEUPPEUL DERKLE,21264,22656,43920
