Localite,Homme,Femme,Total
CR.  N’DOULO,7073,7097,14169
CR.  N’GOHE,17319,17892,35211
CR.  PATAR,10191,9720,19911
CR.  TOCKY GARE ,8892,8284,17175
CR.  TOURE M’BONDE ,7144,7308,14452
