Localite,Homme,Femme,Total
CR.  KANENE NDIOB,6295,6330,12624
CR.  LORO,5631,5527,11158
CR.  SAGATTA GUETH,10508,9794,20303
CR.  THIOLOM FALL,16168,16616,32785
CR.  NGOURANE OUOLOF,6328,6735,13063
