Localite,Homme,Femme,Total
CR.  DAROU MARNANE,8123,7976,16099
CR.  DAROU MOUSTY,25473,26256,51730
CR.  MBADIANE,6675,5392,12067
CR.  NDOYENE,3961,3816,7778
CR.  SAM YABAL,4124,3547,7672
CR.  TOUBA MERINA,4971,4600,9572
CR.  MBACKE CADIOR,3860,3502,7362
