Localite,Homme,Femme,Total
CR.  N’DIEYENE SIRAKH,15619,15328,30947
CR.  N’GOUNDIANE,12761,12599,25360
CR.  THIENABA,12334,12592,24925
CR.  TOUBA TOUL,22870,23058,45928
