Localite,Homme,Femme,Total
CR.  BANI   ISRAEL,3145,3497,6641
CR.  BOUTOUCOUFARA,3573,3510,7084
CR.  DIANKE MAKHA,4304,4476,8781
CR.  KOMOTI,5056,5341,10396
