Localite,Homme,Femme,Total
CR.  BONCONTO,5741,5469,11210
CR.  LINKERING,9431,9256,18687
CR.  MEDINA GOUNASS,25804,27018,52822
CR.  SINTHIANG  KOUNDARA,14850,14239,29089
