Localite,Homme,Femme,Total
CR.  DAROU MINAM II,11384,9861,21245
CR.  N’DIOUM  N’GAINTH,5942,5615,11557
CR.  KHELCOM,2241,138,2379
CR.  NDIOBENE SAMBA LAMO,4104,3639,7743
