Localite,Homme,Femme,Total
CR.  DIENDE,6202,6277,12479
CR.  SAKAR,4395,4633,9028
CR.  DIANNAH BA,3434,3771,7206
CR.  KOUSSY,4297,4087,8383
CR.  OUDOUCAR,5140,5215,10354
CR.  SAMA KANTA PEULH,1968,1884,3851
