Localite,Homme,Femme,Total
CR. KHELCOM BIRAME,6869,6899,13768
CR.  GAGNICK,4820,4557,9377
CR.  NGUELOU,5135,5000,10135
CR.  OUROUR,6007,5748,11755
CR.  DARA MBOSS,2481,2466,4947
CR.  PANAL OUOLOF,3670,3661,7331
