Localite,Homme,Femme,Total
CR.  DOUGUE,4262,4382,8644
CR.  BOYNGUEL BAMBA,6749,7058,13807
CR.  KOUSSAN,4490,4686,9175
CR.  SINTHIOU MAMADOU BOUBOU,8211,8103,16314
