Localite,Homme,Femme,Total
CA. YEUMBEUL NORD,95753,93671,189424
CA. YEUMBEUL SUD,55555,53519,109074
CA. MALIKA,18039,18107,36146
CA. KEUR MASSAR,113568,113289,226857
