Localite,Homme,Femme,Total
CR.  DANKH  SENE,4962,4965,9927
CR.  GADE ESCALE,1710,1631,3340
CR.  N’DINDY,7567,7067,14635
CR.  KEUR N’GALGOU,3786,3651,7437
CR.  TAIBA MOUTOUPHA,5317,5386,10702
CR. TOUBA LAPPE,1736,1683,3419
