Localite,Homme,Femme,Total
CR.  DIAOULE,6994,7338,14334
CR.  MBELACADIAO,9139,9284,18423
CR.  NDIOB,10818,10851,21669
CR.  THIARE  NDIALGUI,12062,12004,24066
