Localite,Homme,Femme,Total
CA. GRAND YOFF,107680,106982,214662
CA. PATTE D’OIE,23289,24278,47567
CA. PARCELLES ASSAINIES,93491,91078,184569
CA. CAMBERENE,30419,30241,60660
