Localite,Homme,Femme,Total
CR.  CHERIF LÖ,10662,10306,20968
CR.  MONT- ROLLAND,8026,8598,16623
CR.  NOTTO GOUYE DIAMA,12680,12998,25678
CR.  PIRE GOUREYE,13873,13644,27518
CR. PAMBAL,4721,5091,9811
