Localite,Homme,Femme,Total
CR.  KELLE GUEYE,6677,6994,13671
CR.  MBEDIENE,8727,8129,16856
CR.  NGUIDILE,12529,14174,26703
CR.  NIOMRE,10065,11371,21436
