Localite,Homme,Femme,Total
CR.  BOULAL,8158,8153,16312
CR.  DEALI,12604,10498,23102
CR.  SAGATTA DJOLOF,6814,7079,13893
CR.  THIAMENE DJOLOF,12268,12242,24510
CR.  AFFE DJOLOFF,3679,3818,7497
