Localite,Homme,Femme,Total
CA. PIKINE OUEST,26691,27064,53754
CA. PIKINE EST,16866,16582,33448
CA. PIKINE SUD,24022,24194,48215
CA. DALIFORD,16238,15113,31351
CA. DJIDAH THIAROYE KAO,50679,49248,99927
CA. GUINAW RAIL NORD,15937,15043,30980
CA. GUINAW RAIL SUD,21328,19754,41082
