Localite,Homme,Femme,Total
CR.  GAINTE KAYE,17421,16788,34209
CR.  PAOSKOTO,9608,10498,20107
CR.  POROKHANE,20409,20583,40992
CR.  TAÏBA NIASSENE,17318,16833,34151
CR. DABALY,6820,6740,13559
CR. DAROU SALAM,15767,16935,32702
