Localite,Homme,Femme,Total
CR.  DIAOULE,7744,8125,15871
CR.  MBELACADIAO,10119,10280,20399
CR.  NDIOB,11978,12014,23993
CR.  THIARE  NDIALGUI,13356,13292,26647
