Localite,Homme,Femme,Total
CR.  NIAGHA,6578,7026,13605
CR.  SIMBANDI BRASSOU,8272,8404,16676
CR.  BAGHERE,5796,6123,11919
CR.  DIOUBOUDOU,2947,3133,6079
