Localite,Homme,Femme,Total
CR.  KOUTHIA GAYDI,6134,5705,11839
CR.  KOUTHIABA WOLOF,11223,10381,21605
CR.  PASS KOTO,7128,6656,13785
CR.  PAYAR,11548,10329,21877
