Localite,Homme,Femme,Total
CR.  COKI,17972,14486,32458
CR.  PETE OUARACK,2901,3306,6206
CR.  THIAMENE CAYOR,11297,10744,22041
CR.  GUET ARDO,5728,5351,11079
