Localite,Homme,Femme,Total
CA.  GOLF SUD,52200,54660,106860
CA.  SAM  NOTAIRE,45147,45877,91024
CA.  N’DIAREME LIMAMOULAYE,20330,20368,40699
CA.  WAKHINANE NIMZATT,51474,52350,103824
CA.  MEDINA GOUNASS,19932,19137,39069
