Localite,Homme,Femme,Total
CR.  FIMELA,16949,17161,34110
CR.  LOUL-SESSENE,13962,13539,27501
CR.  PALMARIN FACAO,7135,5471,12605
CR.  DJILASSE,6723,6396,13119
