Localite,Homme,Femme,Total
CR.  DALLA N’GABOU,5730,4619,10349
CR.  MISSIRAH,4457,3927,8384
CR.  N’GHAYE,2888,2823,5711
CR.  TOUBA FALL ,3979,3378,7357
CR.  TOUBA MOSQUEE,422474,484039,906514
