Localite,Homme,Femme,Total
CR.  DENDEYE GOUYE GUI,3254,3009,6263
CR.  DAROU SALAM  TYP,3381,3060,6440
CR.  KAEL,3246,3068,6313
CR.  MADINA,3465,3101,6566
CR.  N’DIOUMANE  T. THIEKENE,2668,2257,4925
CR.  TOUBA  M’BOUL,6394,5452,11846
CR.  DAROU NAHIM,1521,1230,2750
CR.  TAIBA TIECKENE,1055,972,2027
