Localite,Homme,Femme,Total
CR.  BAGADADJI,8227,8097,16323
CR.  COUMBACARA,5543,5221,10764
CR.  MAMPATIM,8185,8175,16361
CR.  DIALAMBERE,7219,6913,14132
CR.  MEDINA CHERIF,7142,6587,13729
