Localite,Homme,Femme,Total
CR.  BADEGNE OUOLOF,9117,9104,18221
CR.  DIOKOUL DIAWRIGNE,9033,9182,18215
CR.  KAB GAYE,6501,6451,12951
CR.  NDANDE,12830,14724,27555
CR.  THIEPPE,8832,8352,17184
