Localite,Homme,Femme,Total
CR. KHELCOM BIRAME,8011,8047,16058
CR.  GAGNICK,5621,5314,10936
CR.  NGUELOU,5989,5832,11821
CR.  OUROUR,7006,6704,13710
CR.  DARA MBOSS,2894,2876,5770
CR.  PANAL OUOLOF,4281,4269,8550
