Localite,Homme,Femme,Total
CR.  DIOKOUL M’BELBOUCK,16351,17143,33495
CR.  KATHIOTE,21480,23998,45479
CR.  MEDINATOUL SALAM 2,14222,14217,28440
CR.  DIAMAGADIO,12171,14507,26678
